空白背景图像比例,合成数据集比原始尺寸,每张图粘贴目标数量,粘贴目标的resize,是否随机旋转,添加杂质,对比度,亮度,移动模糊,高斯模糊,STATUS_,CARD_
0,1,3,1,1,60,3,60,3,7,设计,1
0,1,3,1,0,0,2,100,1,1,设计,2
1,2,3,0.6~1.6,1,20,1,60,7,7,设计,3
0,8,1,0.6~1.6,0,20,3,80,1,5,设计,4
0.5,8,5,0.8~1.2,1,0,3,40,7,11,设计,5
1,2,3,1,1,40,3,0,10,7,设计,6
0.5,16,1,1,0,20,3,100,3,7,设计,7
0.5,8,1,0.8~1.2,1,20,3,0,1,15,设计,8
1,16,1,0.6~1.6,1,20,3,20,7,1,设计,9
0,8,1,0.6~1.6,1,40,2,60,10,1,设计,10
0,4,1,1,0,60,2,20,7,5,设计,11
0.5,1,5,0.6~1.6,1,0,2,100,10,11,设计,12
1,4,1,0.6~1.6,1,0,1,40,5,7,设计,13
0,1,1,1,1,0,1,0,1,1,设计,14
0.5,4,3,1,0,40,3,0,5,11,设计,15
0.5,2,1,0.8~1.2,1,0,1,20,3,5,设计,16
0.5,1,1,0.6~1.6,1,0,3,20,3,5,设计,17
0,1,1,1,1,20,3,40,10,11,设计,18
0,16,3,0.8~1.2,1,60,2,0,3,7,设计,19
0.5,4,1,1,1,80,1,60,3,15,设计,20
0,2,3,0.8~1.2,0,0,1,40,3,1,设计,21
0,8,5,0.6~1.6,1,40,1,20,5,7,设计,22
1,4,3,0.6~1.6,1,60,3,100,1,5,设计,23
0.5,2,5,0.8~1.2,0,20,2,20,1,7,设计,24
1,8,5,1,1,60,3,80,3,11,设计,25
1,4,5,0.8~1.2,0,80,3,40,1,1,设计,26
0.5,1,5,0.6~1.6,0,40,1,80,7,7,设计,27
0,1,5,1,0,20,2,0,5,5,设计,28
0.5,2,5,1,0,80,3,20,10,7,设计,29
0,4,5,0.8~1.2,1,0,2,80,7,7,设计,30
0.5,1,3,0.6~1.6,1,40,3,40,7,5,设计,31
0,4,3,0.8~1.2,1,40,3,20,1,11,设计,32
1,1,1,0.8~1.2,1,80,1,80,5,1,设计,33
0,16,1,0.8~1.2,1,0,3,0,7,1,设计,34
1,1,3,0.8~1.2,0,40,3,20,7,15,设计,35
0,2,3,0.6~1.6,0,40,3,40,3,1,设计,36
0.5,2,1,1,1,40,2,80,1,5,设计,37
1,2,5,1,1,0,2,60,1,5,设计,38
0,8,5,0.6~1.6,0,80,3,0,7,5,设计,39
0,4,5,1,1,0,3,20,5,7,设计,40
1,8,1,1,1,40,2,20,5,1,设计,41
0.5,8,3,0.8~1.2,0,0,2,60,7,11,设计,42
0.5,4,5,1,1,20,2,0,7,1,设计,43
1,4,1,0.8~1.2,1,40,2,100,7,7,设计,44
0.5,2,3,0.8~1.2,1,60,3,80,5,1,设计,45
1,16,5,0.6~1.6,1,60,1,20,1,11,设计,46
1,4,5,0.6~1.6,0,20,2,40,3,1,设计,47
0,1,5,1,1,60,1,40,7,15,设计,48
1,2,1,1,0,60,1,0,7,11,设计,49
0,4,1,0.8~1.2,0,60,1,20,10,5,设计,50
1,1,5,0.8~1.2,1,20,2,20,3,11,设计,51
0.5,4,3,0.6~1.6,0,0,1,0,5,11,设计,52
0,2,5,0.6~1.6,1,20,2,40,5,15,设计,53
0,8,3,0.6~1.6,1,20,1,0,1,7,设计,54
1,8,1,1,1,0,3,40,5,7,设计,55
0.5,1,3,0.6~1.6,1,60,2,20,5,1,设计,56
1,1,3,0.8~1.2,1,80,2,0,1,7,设计,57
0.5,2,3,1,1,20,1,20,7,1,设计,58
1,2,5,0.6~1.6,1,0,3,0,3,5,设计,59
0,2,5,0.8~1.2,1,60,3,100,5,15,设计,60
0.5,8,3,0.8~1.2,1,20,1,100,5,5,设计,61
1,4,3,0.8~1.2,1,20,1,40,10,5,设计,62
0.5,8,1,0.8~1.2,0,60,2,40,3,7,设计,63
0.5,4,5,0.6~1.6,1,60,3,60,1,1,设计,64
0.5,1,1,0.6~1.6,0,60,1,40,1,7,设计,65
0,16,5,0.8~1.2,0,40,1,60,5,5,设计,66
1,8,3,1,1,60,2,40,7,5,设计,67
0.5,8,5,0.8~1.2,1,60,1,0,10,1,设计,68
0,8,3,0.6~1.6,1,80,2,20,3,11,设计,69
1,1,1,0.8~1.2,0,20,3,60,5,11,设计,70
1,2,1,0.6~1.6,0,60,2,0,5,11,设计,71
0.5,16,5,1,1,40,1,40,1,11,设计,72
1,1,5,0.8~1.2,1,40,1,0,3,5,设计,73
0.5,4,1,0.6~1.6,1,40,2,0,3,15,设计,74
1,8,5,1,0,40,1,100,3,1,设计,75
0,4,3,1,1,20,1,80,3,11,设计,76
0,2,1,0.8~1.2,1,40,2,40,1,11,设计,77
1,8,3,1,0,0,1,20,1,15,设计,78
0,2,1,0.6~1.6,1,80,1,100,7,11,设计,79
1,16,3,0.6~1.6,0,0,2,80,10,15,设计,80
0.5,16,3,1,1,80,2,40,5,5,设计,81
